Overall.bucket,sample,Cyano,Green.Algae,Diatoms,Total.Conc.,Reflection
1,1,0.05,0.0,0.29,0.34,61.0
2,1,0.09,0.0,0.48,0.57,50.0
3,1,0.19,0.0,1.68,1.87,16.0
4,1,0.06,0.0,0.34,0.4,54.0
5,1,0.08,0.0,0.34,0.42,44.0
6,1,0.07,0.0,0.5,0.57,56.0
7,1,0.08,0.0,0.41,0.49,54.0
8,1,0.07,0.0,0.35,0.42,53.0
9,1,0.05,0.03,0.28,0.36,55.0
10,1,0.03,0.0,0.17,0.2,61.0
11,1,,,,,
12,1,,,,,
13,1,,,,,
14,1,,,,,
15,1,,,,,
16,1,,,,,
17,1,,,,,
18,1,,,,,
19,1,0.15,0.0,0.6,0.75,50.0
20,1,0.13,0.0,0.41,0.54,54.0
21,1,0.26,0.0,1.0,1.26,47.0
22,1,0.05,0.0,0.24,0.29,52.0
23,1,0.03,0.0,0.14,0.17,63.0
24,1,0.15,0.0,0.57,0.72,43.0
25,1,0.22,0.0,0.92,1.14,46.0
26,1,0.01,0.0,0.07,0.08,65.0
27,1,0.08,0.0,0.38,0.46,61.0
28,1,0.13,0.0,0.47,0.6,41.0
29,1,0.13,0.0,0.65,0.78,48.0
30,1,0.08,0.0,0.33,0.41,58.0
31,1,0.06,0.0,0.29,0.35,58.0
32,1,0.02,0.0,0.16,0.18,59.0
33,1,0.12,0.0,0.61,0.73,55.0
34,1,0.0,0.0,0.0,0.0,0.0
35,1,0.03,0.0,0.14,0.17,57.0
36,1,0.03,0.0,0.19,0.22,62.0
37,1,0.12,0.02,0.37,0.51,50.0
38,1,0.01,0.05,0.07,0.13,66.0
39,1,0.1,0.0,0.32,0.42,50.0
40,1,0.24,0.0,0.83,1.07,46.0
41,1,0.04,0.0,0.16,0.2,52.0
42,1,0.01,0.04,0.06,0.11,59.0
43,1,0.03,0.0,0.17,0.2,61.0
44,1,0.11,0.0,0.39,0.5,50.0
45,1,0.02,0.0,0.13,0.15,61.0
46,1,0.11,0.0,0.43,0.54,55.0
47,1,0.06,0.0,0.26,0.32,55.0
48,1,0.13,0.0,0.61,0.74,53.0
49,1,0.05,0.0,0.34,0.39,61.0
50,1,0.16,0.0,0.71,0.87,47.0
51,1,0.08,0.0,0.36,0.44,56.0
52,1,0.04,0.0,0.32,0.36,57.0
53,1,0.03,0.0,0.16,0.19,58.0
54,1,0.02,0.07,0.19,0.28,60.0
55,1,0.32,0.0,1.37,1.69,43.0
56,1,0.13,0.0,0.62,0.75,44.0
57,1,0.0,0.0,0.01,0.01,72.0
58,1,0.09,0.0,0.71,0.8,44.0
59,1,0.02,0.0,0.17,0.19,58.0
60,1,0.03,0.0,0.23,0.26,63.0
61,1,0.05,0.0,0.31,0.36,59.0
62,1,0.03,0.0,0.25,0.28,61.0
63,1,0.05,0.0,0.28,0.33,52.0
64,1,0.1,0.0,0.4,0.5,46.0
65,1,0.06,0.0,0.22,0.28,50.0
66,1,0.17,0.0,1.07,1.24,50.0
67,1,0.07,0.0,0.47,0.54,58.0
68,1,0.1,0.0,0.48,0.58,54.0
69,1,0.19,0.0,0.89,1.08,55.0
70,1,0.12,0.0,0.69,0.81,47.0
71,1,0.12,0.0,0.62,0.74,51.0
72,1,0.25,0.05,1.02,1.32,54.0
73,1,0.06,0.0,0.29,0.35,58.0
74,1,0.06,0.0,0.28,0.34,57.0
75,1,0.23,0.0,1.08,1.31,35.0
76,1,0.09,0.0,0.73,0.82,55.0
77,1,0.08,0.0,0.3,0.38,57.0
78,1,0.05,0.0,0.28,0.33,48.0
79,1,0.09,0.0,0.45,0.54,46.0
80,1,0.08,0.0,0.41,0.49,54.0
81,1,0.1,0.0,0.48,0.58,63.0
82,1,0.09,0.0,0.42,0.51,57.0
83,1,0.04,0.0,0.22,0.26,60.0
84,1,0.09,0.0,0.58,0.67,58.0
85,1,0.12,0.0,0.65,0.77,46.0
86,1,0.23,0.0,0.91,1.14,50.0
87,1,0.15,0.0,0.98,1.13,52.0
88,1,0.11,0.0,0.46,0.57,46.0
89,1,0.03,0.0,0.19,0.22,61.0
90,1,0.04,0.0,0.22,0.26,64.0
91,1,0.11,0.0,0.52,0.63,44.0
92,1,0.04,0.0,0.24,0.28,60.0
93,1,0.07,0.1,0.29,0.46,51.0
94,1,0.23,0.0,1.24,1.47,44.0
95,1,0.24,0.0,0.96,1.2,41.0
96,1,0.41,0.0,2.31,2.72,43.0
97,1,0.29,0.0,1.11,1.4,53.0
98,1,0.04,0.0,0.3,0.34,54.0
99,1,0.2,0.0,0.91,1.11,50.0
100,1,0.07,0.0,0.43,0.5,50.0
101,1,0.12,0.0,0.56,0.68,48.0
102,1,0.14,0.0,0.83,0.97,49.0
103,1,0.11,0.0,0.54,0.65,50.0
104,1,0.23,0.0,1.12,1.35,41.0
105,1,0.09,0.0,0.55,0.64,54.0
106,1,0.06,0.0,0.32,0.38,50.0
107,1,0.05,0.0,0.3,0.35,56.0
108,1,0.08,0.0,0.4,0.48,54.0
109,1,0.18,0.0,0.8,0.98,38.0
110,1,0.05,0.0,0.36,0.41,60.0
111,1,0.12,0.0,0.53,0.65,49.0
112,1,0.05,0.0,0.41,0.46,58.0
113,1,0.08,0.0,0.44,0.52,60.0
114,1,0.09,0.0,0.6,0.69,56.0
115,1,0.06,0.0,0.58,0.64,53.0
116,1,0.16,0.0,0.78,0.94,54.0
117,1,0.05,0.0,0.27,0.32,51.0
118,1,0.27,0.0,1.24,1.51,49.0
119,1,0.06,0.0,0.41,0.47,55.0
120,1,0.1,0.0,0.83,0.93,46.0
121,1,0.08,0.0,0.51,0.59,52.0
122,1,0.1,0.0,0.48,0.58,49.0
123,1,0.1,0.0,0.55,0.65,44.0
124,1,0.08,0.0,0.45,0.53,46.0
125,1,0.16,0.0,0.71,0.87,23.0
126,1,0.22,0.0,1.02,1.24,41.0
127,1,0.1,0.0,0.52,0.62,53.0
128,1,0.04,0.0,0.28,0.32,58.0
129,1,0.13,0.0,0.61,0.74,54.0
130,1,0.44,0.0,2.61,3.05,44.0
131,1,0.16,0.0,0.9,1.06,41.0
132,1,0.29,0.0,1.32,1.61,41.0
133,1,0.07,0.0,0.49,0.56,51.0
134,1,0.08,0.0,0.56,0.64,55.0
135,1,0.04,0.0,0.33,0.37,60.0
136,1,0.07,0.0,0.48,0.55,52.0
137,1,0.1,0.0,0.62,0.72,45.0
138,1,0.11,0.0,0.87,0.98,54.0
139,1,0.06,0.0,0.49,0.55,53.0
140,1,0.04,0.0,0.21,0.25,58.0
141,1,0.09,0.0,0.6,0.69,44.0
142,1,0.09,0.0,0.63,0.72,51.0
143,1,0.09,0.0,0.65,0.74,54.0
144,1,0.16,0.0,0.95,1.11,48.0
1,2,0.04,0.13,0.19,0.36,62.0
2,2,0.05,0.0,0.29,0.34,60.0
3,2,0.07,0.0,0.19,0.26,42.0
4,2,0.16,0.0,0.72,0.88,36.0
5,2,0.15,0.0,0.64,0.79,33.0
6,2,0.09,0.0,0.48,0.57,47.0
7,2,0.04,0.0,0.24,0.28,64.0
8,2,0.05,0.0,0.42,0.47,54.0
9,2,0.13,0.0,0.56,0.69,41.0
10,2,0.08,0.0,0.48,0.56,57.0
11,2,0.32,0.0,0.68,1.0,28.0
12,2,0.06,0.0,0.28,0.34,47.0
13,2,0.29,0.0,1.22,1.51,32.0
14,2,0.09,0.0,0.38,0.47,47.0
15,2,0.27,0.0,1.22,1.49,47.0
16,2,0.35,0.0,1.63,1.98,32.0
17,2,0.02,0.0,0.17,0.19,63.0
18,2,0.13,0.0,0.61,0.74,43.0
19,2,0.26,0.0,0.96,1.22,30.0
20,2,0.54,0.0,2.33,2.87,36.0
21,2,0.18,0.0,0.85,1.03,39.0
22,2,0.09,0.0,0.49,0.58,50.0
23,2,0.06,0.0,0.38,0.44,56.0
24,2,1.06,0.0,5.32,6.38,30.0
25,2,0.09,0.0,0.39,0.48,47.0
26,2,0.04,0.0,0.24,0.28,57.0
27,2,0.03,0.0,0.25,0.28,56.0
28,2,0.12,0.0,0.58,0.7,42.0
29,2,0.03,0.0,0.3,0.33,61.0
30,2,0.12,0.0,0.57,0.69,34.0
31,2,0.08,0.0,0.37,0.45,44.0
32,2,0.1,0.0,0.45,0.55,45.0
33,2,0.13,0.0,0.7,0.83,56.0
34,2,0.34,0.0,1.46,1.8,28.0
35,2,0.42,0.0,2.19,2.61,29.0
36,2,0.11,0.0,0.6,0.71,42.0
37,2,0.06,0.27,0.29,0.62,52.0
38,2,0.08,0.06,0.45,0.59,56.0
39,2,0.15,0.0,1.13,1.28,48.0
40,2,0.25,0.0,0.96,1.21,32.0
41,2,0.15,0.04,0.32,0.51,37.0
42,2,0.14,0.0,0.81,0.95,41.0
43,2,0.21,0.0,0.86,1.07,39.0
44,2,0.12,0.0,0.62,0.74,37.0
45,2,0.13,0.0,0.71,0.84,48.0
46,2,0.04,0.03,0.3,0.37,53.0
47,2,0.07,0.04,0.4,0.51,52.0
48,2,0.06,0.0,0.33,0.39,52.0
49,2,0.16,0.0,0.88,1.04,44.0
50,2,0.2,0.0,0.96,1.16,36.0
51,2,0.05,0.0,0.25,0.3,58.0
52,2,0.07,0.0,0.36,0.43,48.0
53,2,0.07,0.0,0.37,0.44,50.0
54,2,0.11,0.03,0.52,0.66,50.0
55,2,0.18,0.0,0.76,0.94,38.0
56,2,0.43,0.0,1.42,1.85,22.0
57,2,0.09,0.0,0.48,0.57,49.0
58,2,0.08,0.03,0.26,0.37,36.0
59,2,0.08,0.0,0.44,0.52,46.0
60,2,0.06,0.0,0.33,0.39,54.0
61,2,0.1,0.0,0.67,0.77,46.0
62,2,0.21,0.0,0.88,1.09,39.0
63,2,0.06,0.0,0.37,0.43,47.0
64,2,0.21,0.0,0.9,1.11,41.0
65,2,0.14,0.0,0.57,0.71,41.0
66,2,0.27,0.0,1.3,1.57,42.0
67,2,0.05,0.0,0.31,0.36,56.0
68,2,0.06,0.0,0.32,0.38,50.0
69,2,0.09,0.0,0.4,0.49,42.0
70,2,0.18,0.0,0.61,0.79,34.0
71,2,0.06,0.0,0.28,0.34,46.0
72,2,0.51,0.37,1.68,2.56,38.0
73,2,0.06,0.0,0.32,0.38,55.0
74,2,0.21,0.0,0.81,1.02,43.0
75,2,0.13,0.0,0.6,0.73,40.0
76,2,0.18,0.0,0.93,1.11,36.0
77,2,0.11,0.0,0.46,0.57,48.0
78,2,0.09,0.0,0.42,0.51,54.0
79,2,0.44,0.0,2.63,3.07,24.0
80,2,0.16,0.0,0.82,0.98,50.0
81,2,0.14,0.0,0.72,0.86,47.0
82,2,0.05,0.0,0.33,0.38,54.0
83,2,0.15,0.0,0.44,0.59,43.0
84,2,0.09,0.0,0.46,0.55,47.0
85,2,0.4,0.0,2.53,2.93,33.0
86,2,0.22,0.0,0.77,0.99,45.0
87,2,0.05,0.03,0.36,0.44,55.0
88,2,0.05,0.0,0.32,0.37,56.0
89,2,0.14,0.0,0.76,0.9,45.0
90,2,0.05,0.0,0.35,0.4,56.0
91,2,0.36,0.0,1.31,1.67,30.0
92,2,0.03,0.0,0.21,0.24,62.0
93,2,0.09,0.13,0.46,0.68,46.0
94,2,0.22,0.0,1.06,1.28,47.0
95,2,0.19,0.0,0.98,1.17,44.0
96,2,0.08,0.0,0.43,0.51,54.0
97,2,0.1,0.0,0.38,0.48,46.0
98,2,0.28,0.0,1.4,1.68,41.0
99,2,0.06,0.0,0.47,0.53,56.0
100,2,0.09,0.0,0.38,0.47,44.0
101,2,0.19,0.0,0.82,1.01,39.0
102,2,0.04,0.0,0.16,0.2,60.0
103,2,0.25,0.0,0.94,1.19,41.0
104,2,0.16,0.0,0.97,1.13,40.0
105,2,0.06,0.0,0.35,0.41,54.0
106,2,0.12,0.0,0.7,0.82,41.0
107,2,0.15,0.0,0.72,0.87,44.0
108,2,0.17,0.0,0.59,0.76,48.0
109,2,0.11,0.0,0.58,0.69,43.0
110,2,0.04,0.0,0.27,0.31,53.0
111,2,0.08,0.0,0.39,0.47,43.0
112,2,0.04,0.0,0.24,0.28,55.0
113,2,0.03,0.0,0.11,0.14,64.0
114,2,0.05,0.0,0.23,0.28,53.0
115,2,0.05,0.0,0.24,0.29,52.0
116,2,0.05,0.0,0.24,0.29,53.0
117,2,0.06,0.0,0.34,0.4,45.0
118,2,0.22,0.0,1.02,1.24,49.0
119,2,0.22,0.0,0.7,0.92,45.0
120,2,0.12,0.0,0.75,0.87,45.0
121,2,0.05,0.0,0.26,0.31,45.0
122,2,1.53,0.0,7.32,8.85,21.0
123,2,0.05,0.0,0.27,0.32,55.0
124,2,0.05,0.0,0.2,0.25,52.0
125,2,0.18,0.0,0.64,0.82,25.0
126,2,0.04,0.0,0.22,0.26,60.0
127,2,0.03,0.0,0.23,0.26,62.0
128,2,0.03,0.0,0.18,0.21,60.0
129,2,0.13,0.0,0.67,0.8,48.0
130,2,0.22,0.0,1.05,1.27,37.0
131,2,0.09,0.0,0.34,0.43,44.0
132,2,0.11,0.0,0.8,0.91,54.0
133,2,0.46,0.0,2.02,2.48,36.0
134,2,0.05,0.0,0.26,0.31,50.0
135,2,0.06,0.06,0.5,0.62,58.0
136,2,0.07,0.0,0.28,0.35,46.0
137,2,0.08,0.0,0.24,0.32,37.0
138,2,0.13,0.0,0.42,0.55,40.0
139,2,0.06,0.07,0.33,0.46,51.0
140,2,0.04,0.0,0.21,0.25,52.0
141,2,0.01,0.01,0.04,0.06,64.0
142,2,0.07,0.0,0.33,0.4,50.0
143,2,0.05,0.0,0.21,0.26,51.0
144,2,0.06,0.0,0.33,0.39,46.0
1,3,0.12,0.0,0.76,0.88,45.0
2,3,0.29,0.0,1.06,1.35,34.0
3,3,0.42,0.0,1.53,1.95,29.0
4,3,0.22,0.0,0.87,1.09,32.0
5,3,0.45,0.0,1.52,1.97,40.0
6,3,0.16,0.0,0.69,0.85,44.0
7,3,0.05,0.01,0.33,0.39,55.0
8,3,0.26,0.0,0.94,1.2,38.0
9,3,0.07,0.03,0.43,0.53,46.0
10,3,0.07,0.0,0.45,0.52,51.0
11,3,0.18,0.0,0.42,0.6,44.0
12,3,0.18,0.0,0.92,1.1,31.0
13,3,0.07,0.0,0.39,0.46,45.0
14,3,0.1,0.0,0.45,0.55,32.0
15,3,0.06,0.0,0.37,0.43,56.0
16,3,0.12,0.0,0.53,0.65,40.0
17,3,0.11,0.0,0.5,0.61,41.0
18,3,0.26,0.0,1.02,1.28,23.0
19,3,0.05,0.22,0.26,0.53,53.0
20,3,0.27,0.0,1.27,1.54,41.0
21,3,0.28,0.0,1.07,1.35,27.0
22,3,0.06,0.0,0.36,0.42,56.0
23,3,0.2,0.0,0.9,1.1,40.0
24,3,0.52,0.0,2.56,3.08,24.0
25,3,0.22,0.0,1.06,1.28,45.0
26,3,0.16,0.0,0.7,0.86,30.0
27,3,0.25,0.0,1.11,1.36,36.0
28,3,0.45,0.0,1.93,2.38,13.0
29,3,0.08,0.0,0.42,0.5,56.0
30,3,0.15,0.0,0.63,0.78,43.0
31,3,0.11,0.0,0.65,0.76,52.0
32,3,0.16,0.0,0.73,0.89,43.0
33,3,0.25,0.0,1.0,1.25,41.0
34,3,0.33,0.0,0.95,1.28,45.0
35,3,0.4,0.0,1.34,1.74,25.0
36,3,0.43,0.0,2.16,2.59,31.0
37,3,0.46,0.4,1.57,2.43,35.0
38,3,0.1,0.0,0.61,0.71,50.0
39,3,0.22,0.0,1.38,1.6,31.0
40,3,0.32,0.0,1.35,1.67,22.0
41,3,0.34,0.0,1.2,1.54,16.0
42,3,0.19,0.0,0.72,0.91,40.0
43,3,0.15,0.0,0.78,0.93,41.0
44,3,0.38,0.0,1.68,2.06,25.0
45,3,0.07,0.04,0.41,0.52,57.0
46,3,0.08,0.0,0.5,0.58,51.0
47,3,0.08,0.03,0.42,0.53,48.0
48,3,0.45,0.0,2.03,2.48,20.0
49,3,0.19,0.0,0.83,1.02,51.0
50,3,0.35,0.0,1.25,1.6,16.0
51,3,0.07,0.0,0.53,0.6,53.0
52,3,0.09,0.0,0.48,0.57,47.0
53,3,0.15,0.0,0.68,0.83,36.0
54,3,0.15,0.0,0.84,0.99,47.0
55,3,0.14,0.0,0.67,0.81,37.0
56,3,0.35,0.0,1.4,1.75,30.0
57,3,0.14,0.0,0.94,1.08,48.0
58,3,0.33,0.0,1.03,1.36,23.0
59,3,0.03,0.0,0.18,0.21,61.0
60,3,0.07,0.0,0.37,0.44,55.0
61,3,0.06,0.0,0.21,0.27,53.0
62,3,0.1,0.0,0.43,0.53,35.0
63,3,0.12,0.0,0.38,0.5,34.0
64,3,0.53,0.0,1.89,2.42,24.0
65,3,0.1,0.0,0.38,0.48,48.0
66,3,0.3,0.0,2.13,2.43,24.0
67,3,0.26,0.0,1.18,1.44,42.0
68,3,0.1,0.0,0.48,0.58,52.0
69,3,0.29,0.0,1.21,1.5,31.0
70,3,0.06,0.0,0.35,0.41,60.0
71,3,0.19,0.0,0.92,1.11,31.0
72,3,0.16,0.31,0.72,1.19,41.0
73,3,0.04,0.02,0.18,0.24,55.0
74,3,0.07,0.0,0.51,0.58,50.0
75,3,0.35,0.0,2.01,2.36,18.0
76,3,0.27,0.0,1.16,1.43,33.0
77,3,0.48,0.0,2.1,2.58,29.0
78,3,0.1,0.0,0.58,0.68,46.0
79,3,0.5,0.0,1.97,2.47,22.0
80,3,0.17,0.0,0.91,1.08,48.0
81,3,0.05,0.0,0.37,0.42,53.0
82,3,0.32,0.0,1.55,1.87,41.0
83,3,0.13,0.0,0.66,0.79,52.0
84,3,0.18,0.0,1.09,1.27,31.0
85,3,0.22,0.0,0.74,0.96,25.0
86,3,0.28,0.0,1.01,1.29,25.0
87,3,0.06,0.0,0.3,0.36,59.0
88,3,0.08,0.0,0.6,0.68,54.0
89,3,0.19,0.0,0.64,0.83,38.0
90,3,0.1,0.27,0.35,0.72,58.0
91,3,0.32,0.0,1.06,1.38,33.0
92,3,0.12,0.0,0.44,0.56,39.0
93,3,0.37,0.35,1.63,2.35,36.0
94,3,0.25,0.0,0.93,1.18,20.0
95,3,0.09,0.0,0.33,0.42,42.0
96,3,0.18,0.0,0.81,0.99,34.0
97,3,0.05,0.0,0.35,0.4,58.0
98,3,0.12,0.0,0.29,0.41,41.0
99,3,0.09,0.0,0.39,0.48,43.0
100,3,0.1,0.0,0.54,0.64,50.0
101,3,0.1,0.0,0.44,0.54,36.0
102,3,0.04,0.0,0.26,0.3,48.0
103,3,0.32,0.0,1.32,1.64,31.0
104,3,0.19,0.0,0.73,0.92,34.0
105,3,0.05,0.0,0.34,0.39,54.0
106,3,0.24,0.0,0.69,0.93,30.0
107,3,0.04,0.0,0.31,0.35,55.0
108,3,0.36,0.0,1.3,1.66,39.0
109,3,0.32,0.0,1.28,1.6,24.0
110,3,0.05,0.0,0.35,0.4,58.0
111,3,0.03,0.0,0.2,0.23,57.0
112,3,0.18,0.0,1.09,1.27,36.0
113,3,0.14,0.0,0.6,0.74,48.0
114,3,0.05,0.0,0.39,0.44,55.0
115,3,0.14,0.0,0.69,0.83,34.0
116,3,0.1,0.0,0.51,0.61,51.0
117,3,0.14,0.0,0.91,1.05,31.0
118,3,0.14,0.0,0.71,0.85,47.0
119,3,0.25,0.0,1.47,1.72,23.0
120,3,0.11,0.0,0.37,0.48,33.0
121,3,0.09,0.0,0.59,0.68,56.0
122,3,0.63,0.0,2.88,3.51,24.0
123,3,0.05,0.02,0.34,0.41,56.0
124,3,0.11,0.0,0.56,0.67,44.0
125,3,,,,,
126,3,,,,,
127,3,0.05,0.05,0.35,0.45,58.0
128,3,0.09,0.0,0.4,0.49,61.0
129,3,0.1,0.0,0.57,0.67,54.0
130,3,0.19,0.0,1.02,1.21,38.0
131,3,0.11,0.0,0.54,0.65,51.0
132,3,0.11,0.0,0.26,0.37,41.0
133,3,0.12,0.0,0.5,0.62,40.0
134,3,0.31,0.0,0.99,1.3,25.0
135,3,0.19,0.0,0.79,0.98,46.0
136,3,0.05,0.04,0.32,0.41,44.0
137,3,0.26,0.0,1.24,1.5,33.0
138,3,0.19,0.0,1.07,1.26,31.0
139,3,0.42,0.0,1.34,1.76,32.0
140,3,0.05,0.0,0.36,0.41,57.0
141,3,0.42,0.0,2.41,2.83,29.0
142,3,0.4,0.0,1.19,1.59,28.0
144,3,0.06,0.0,0.39,0.45,54.0
145,3,0.07,0.0,0.32,0.39,48.0
1,4,0.13,0.0,1.04,1.17,43.0
2,4,0.03,0.03,0.22,0.28,63.0
3,4,0.12,0.0,0.51,0.63,48.0
4,4,0.2,0.0,0.88,1.08,23.0
5,4,0.2,0.0,0.93,1.13,31.0
6,4,0.27,0.0,1.14,1.41,43.0
7,4,0.03,0.0,0.15,0.18,60.0
8,4,0.04,0.0,0.34,0.38,60.0
9,4,0.1,0.0,0.7,0.8,37.0
10,4,0.21,0.0,1.2,1.41,40.0
11,4,0.08,0.0,0.58,0.66,54.0
12,4,0.13,0.0,0.62,0.75,35.0
13,4,0.17,0.0,1.57,1.74,21.0
14,4,0.08,0.0,0.78,0.86,29.0
15,4,0.12,0.0,0.79,0.91,42.0
16,4,0.08,0.0,0.55,0.63,39.0
17,4,0.08,0.0,0.66,0.74,35.0
18,4,0.13,0.0,0.9,1.03,34.0
19,4,0.13,0.44,0.55,1.12,50.0
20,4,0.14,0.0,0.65,0.79,45.0
21,4,0.2,0.0,0.91,1.11,40.0
22,4,0.24,0.0,1.09,1.33,38.0
23,4,0.21,0.0,1.29,1.5,49.0
24,4,0.27,0.2,1.08,1.55,30.0
25,4,0.28,0.0,1.16,1.44,28.0
26,4,0.2,0.0,1.03,1.23,30.0
27,4,0.12,0.0,0.75,0.87,43.0
28,4,0.29,0.0,1.95,2.24,24.0
29,4,0.19,0.0,0.92,1.11,40.0
30,4,0.08,0.0,0.8,0.88,30.0
31,4,0.14,0.0,0.98,1.12,37.0
32,4,0.04,0.0,0.23,0.27,57.0
33,4,0.1,0.18,0.53,0.81,44.0
34,4,0.09,0.0,0.4,0.49,44.0
35,4,0.15,0.0,0.89,1.04,34.0
36,4,0.27,0.0,1.63,1.9,10.0
37,4,0.53,0.0,2.79,3.32,21.0
38,4,0.05,0.0,0.39,0.44,56.0
39,4,0.3,0.0,0.92,1.22,18.0
40,4,0.17,0.09,0.69,0.95,29.0
41,4,0.16,0.01,0.97,1.14,43.0
42,4,0.14,0.0,1.06,1.2,23.0
43,4,0.05,0.09,0.69,0.83,49.0
44,4,0.13,0.0,0.76,0.89,33.0
45,4,0.16,0.0,0.86,1.02,44.0
46,4,0.09,0.0,0.52,0.61,42.0
47,4,0.09,0.0,0.66,0.75,41.0
48,4,0.36,0.0,2.07,2.43,21.0
49,4,0.17,0.21,0.6,0.98,48.0
50,4,0.53,0.0,1.97,2.5,26.0
51,4,0.06,0.0,0.35,0.41,51.0
52,4,0.36,0.0,1.8,2.16,28.0
53,4,0.29,0.0,1.48,1.77,34.0
54,4,0.31,0.0,1.38,1.69,40.0
55,4,0.16,0.0,0.67,0.83,22.0
56,4,0.12,0.0,0.63,0.75,33.0
57,4,0.32,0.0,1.93,2.25,30.0
58,4,0.21,0.0,0.77,0.98,21.0
59,4,0.13,0.0,0.66,0.79,48.0
60,4,0.08,0.0,0.52,0.6,44.0
61,4,0.12,0.0,0.61,0.73,43.0
62,4,0.04,0.0,0.67,0.71,38.0
63,4,0.43,0.0,1.3,1.73,21.0
64,4,0.27,0.0,1.38,1.65,25.0
65,4,0.15,0.0,0.91,1.06,31.0
66,4,0.26,0.0,1.0,1.26,17.0
67,4,0.21,0.0,0.97,1.18,36.0
68,4,0.34,0.0,0.97,1.31,37.0
69,4,0.08,0.0,0.48,0.56,37.0
70,4,0.11,0.0,0.51,0.62,39.0
71,4,0.14,0.0,0.93,1.07,42.0
72,4,0.17,0.32,0.73,1.22,39.0
73,4,0.14,0.0,0.8,0.94,31.0
74,4,0.06,0.0,0.19,0.25,47.0
75,4,0.05,0.0,0.24,0.29,42.0
76,4,0.07,0.19,0.29,0.55,48.0
77,4,0.16,0.0,0.61,0.77,29.0
78,4,0.21,0.0,0.92,1.13,24.0
79,4,0.43,0.0,2.24,2.67,23.0
80,4,0.33,0.0,2.03,2.36,33.0
81,4,0.49,0.0,2.56,3.05,27.0
82,4,0.07,0.05,0.51,0.63,51.0
83,4,0.21,0.0,1.1,1.31,40.0
84,4,0.15,0.0,0.77,0.92,37.0
85,4,0.09,0.0,0.35,0.44,44.0
86,4,0.35,0.0,2.69,3.04,11.0
87,4,0.24,0.0,0.97,1.21,37.0
88,4,0.27,0.0,1.25,1.52,34.0
89,4,0.21,0.0,1.37,1.58,18.0
90,4,0.22,0.03,1.01,1.26,43.0
92,4,0.07,0.0,0.4,0.47,43.0
91,4,0.15,0.0,0.73,0.88,39.0
93,4,0.5,0.0,2.08,2.58,26.0
94,4,0.13,0.0,0.64,0.77,32.0
95,4,0.22,0.0,0.76,0.98,34.0
96,4,0.26,0.0,1.03,1.29,31.0
97,4,0.1,0.0,0.46,0.56,39.0
98,4,0.18,0.0,0.68,0.86,24.0
99,4,0.42,0.0,1.73,2.15,16.0
100,4,0.34,0.0,1.55,1.89,38.0
101,4,0.35,0.0,1.3,1.65,17.0
102,4,0.43,0.0,2.52,2.95,20.0
103,4,0.26,0.0,1.32,1.58,12.0
104,4,0.19,0.0,0.85,1.04,26.0
105,4,0.15,0.0,0.66,0.81,47.0
106,4,0.17,0.0,0.72,0.89,26.0
107,4,0.08,0.0,0.42,0.5,58.0
108,4,0.12,0.0,0.59,0.71,51.0
109,4,0.08,0.0,0.55,0.63,31.0
110,4,0.04,0.0,0.26,0.3,61.0
111,4,0.06,0.0,0.38,0.44,48.0
112,4,0.07,0.0,0.52,0.59,43.0
113,4,0.18,0.0,0.79,0.97,40.0
114,4,0.06,0.0,0.37,0.43,55.0
115,4,0.26,0.0,1.55,1.81,28.0
116,4,0.09,0.0,0.61,0.7,47.0
117,4,0.17,0.0,0.64,0.81,20.0
118,4,0.11,0.0,0.59,0.7,36.0
119,4,0.21,0.0,1.37,1.58,25.0
120,4,0.16,0.0,0.85,1.01,40.0
121,4,0.14,0.0,0.7,0.84,42.0
122,4,0.25,0.0,0.95,1.2,22.0
123,4,0.17,0.0,0.99,1.16,36.0
124,4,0.05,0.0,0.37,0.42,54.0
125,4,0.17,0.0,0.88,1.05,20.0
126,4,0.13,0.0,0.56,0.69,37.0
127,4,0.15,0.0,0.85,1.0,41.0
128,4,0.23,0.42,0.76,1.41,42.0
129,4,0.11,0.0,0.75,0.86,50.0
130,4,0.39,0.0,2.99,3.38,11.0
131,4,0.24,0.0,1.09,1.33,25.0
132,4,0.25,0.0,1.15,1.4,17.0
133,4,0.36,0.0,1.1,1.46,25.0
134,4,0.15,0.0,0.76,0.91,40.0
135,4,0.2,0.0,1.0,1.2,35.0
136,4,0.02,0.07,0.13,0.22,57.0
137,4,0.09,0.0,0.95,1.04,38.0
138,4,0.13,0.0,0.8,0.93,29.0
139,4,0.12,0.0,0.52,0.64,46.0
140,4,0.1,0.0,0.53,0.63,44.0
141,4,0.11,0.51,0.37,0.99,50.0
142,4,0.21,0.0,1.01,1.22,26.0
143,4,0.16,0.0,0.78,0.94,44.0
144,4,0.16,0.0,0.63,0.79,53.0
