bucket,Date_Time,Cyano,Green Algae,Diatoms,Total Conc.,Reflection
1,3/8/15 7:37,0.13,0,1.04,1.17,43
2,3/8/15 7:38,0.03,0.03,0.22,0.28,63
3,3/8/15 7:39,0.12,0,0.51,0.63,48
4,3/8/15 7:39,0.2,0,0.88,1.08,23
5,3/8/15 7:40,0.2,0,0.93,1.13,31
6,3/8/15 7:41,0.27,0,1.14,1.41,43
7,3/8/15 7:42,0.03,0,0.15,0.18,60
8,3/8/15 7:42,0.04,0,0.34,0.38,60
9,3/8/15 7:43,0.1,0,0.7,0.8,37
10,3/8/15 7:44,0.21,0,1.2,1.41,40
11,3/8/15 7:45,0.08,0,0.58,0.66,54
12,3/8/15 7:46,0.13,0,0.62,0.75,35
13,3/8/15 7:46,0.17,0,1.57,1.74,21
14,3/8/15 7:47,0.08,0,0.78,0.86,29
15,3/8/15 7:48,0.12,0,0.79,0.91,42
16,3/8/15 7:48,0.08,0,0.55,0.63,39
17,3/8/15 7:49,0.08,0,0.66,0.74,35
18,3/8/15 7:50,0.13,0,0.9,1.03,34
19,3/8/15 7:50,0.13,0.44,0.55,1.12,50
20,3/8/15 7:51,0.14,0,0.65,0.79,45
21,3/8/15 7:52,0.2,0,0.91,1.11,40
22,3/8/15 7:52,0.24,0,1.09,1.33,38
23,3/8/15 7:53,0.21,0,1.29,1.5,49
24,3/8/15 7:54,0.27,0.2,1.08,1.55,30
25,3/8/15 7:55,0.28,0,1.16,1.44,28
26,3/8/15 7:56,0.2,0,1.03,1.23,30
27,3/8/15 7:57,0.12,0,0.75,0.87,43
28,3/8/15 7:57,0.29,0,1.95,2.24,24
29,3/8/15 7:58,0.19,0,0.92,1.11,40
30,3/8/15 7:59,0.08,0,0.8,0.88,30
31,3/8/15 7:59,0.14,0,0.98,1.12,37
32,3/8/15 8:00,0.04,0,0.23,0.27,57
33,3/8/15 8:01,0.1,0.18,0.53,0.81,44
34,3/8/15 8:02,0.09,0,0.4,0.49,44
35,3/8/15 8:02,0.15,0,0.89,1.04,34
36,3/8/15 8:03,0.27,0,1.63,1.9,10
37,3/8/15 8:04,0.53,0,2.79,3.32,21
38,3/8/15 8:04,0.05,0,0.39,0.44,56
39,3/8/15 8:05,0.3,0,0.92,1.22,18
40,3/8/15 8:06,0.17,0.09,0.69,0.95,29
41,3/8/15 8:06,0.16,0.01,0.97,1.14,43
42,3/8/15 8:07,0.14,0,1.06,1.2,23
43,3/8/15 8:08,0.05,0.09,0.69,0.83,49
44,3/8/15 8:08,0.13,0,0.76,0.89,33
45,3/8/15 8:09,0.16,0,0.86,1.02,44
46,3/8/15 8:10,0.09,0,0.52,0.61,42
47,3/8/15 8:10,0.09,0,0.66,0.75,41
48,3/8/15 8:11,0.36,0,2.07,2.43,21
49,3/8/15 8:25,0.17,0.21,0.6,0.98,48
50,3/8/15 8:26,0.53,0,1.97,2.5,26
51,3/8/15 8:26,0.06,0,0.35,0.41,51
52,3/8/15 8:27,0.36,0,1.8,2.16,28
53,3/8/15 8:28,0.29,0,1.48,1.77,34
54,3/8/15 8:28,0.31,0,1.38,1.69,40
55,3/8/15 8:29,0.16,0,0.67,0.83,22
56,3/8/15 8:30,0.12,0,0.63,0.75,33
57,3/8/15 8:30,0.32,0,1.93,2.25,30
58,3/8/15 8:31,0.21,0,0.77,0.98,21
59,3/8/15 8:32,0.13,0,0.66,0.79,48
60,3/8/15 8:32,0.08,0,0.52,0.6,44
61,3/8/15 8:33,0.12,0,0.61,0.73,43
62,3/8/15 8:34,0.04,0,0.67,0.71,38
63,3/8/15 8:34,0.43,0,1.3,1.73,21
64,3/8/15 8:35,0.27,0,1.38,1.65,25
65,3/8/15 8:36,0.15,0,0.91,1.06,31
66,3/8/15 8:36,0.26,0,1,1.26,17
67,3/8/15 8:37,0.21,0,0.97,1.18,36
68,3/8/15 8:38,0.34,0,0.97,1.31,37
69,3/8/15 8:38,0.08,0,0.48,0.56,37
70,3/8/15 8:39,0.11,0,0.51,0.62,39
71,3/8/15 8:40,0.14,0,0.93,1.07,42
72,3/8/15 8:40,0.17,0.32,0.73,1.22,39
73,3/8/15 8:42,0.14,0,0.8,0.94,31
74,3/8/15 8:43,0.06,0,0.19,0.25,47
75,3/8/15 8:43,0.05,0,0.24,0.29,42
76,3/8/15 8:44,0.07,0.19,0.29,0.55,48
77,3/8/15 8:45,0.16,0,0.61,0.77,29
78,3/8/15 8:45,0.21,0,0.92,1.13,24
79,3/8/15 8:46,0.43,0,2.24,2.67,23
80,3/8/15 8:47,0.33,0,2.03,2.36,33
81,3/8/15 8:47,0.49,0,2.56,3.05,27
82,3/8/15 8:48,0.07,0.05,0.51,0.63,51
83,3/8/15 8:49,0.21,0,1.1,1.31,40
84,3/8/15 8:49,0.15,0,0.77,0.92,37
85,3/8/15 8:50,0.09,0,0.35,0.44,44
86,3/8/15 8:51,0.35,0,2.69,3.04,11
87,3/8/15 8:51,0.24,0,0.97,1.21,37
88,3/8/15 8:52,0.27,0,1.25,1.52,34
89,3/8/15 8:52,0.21,0,1.37,1.58,18
90,3/8/15 8:53,0.22,0.03,1.01,1.26,43
92,3/8/15 8:54,0.07,0,0.4,0.47,43
91,3/8/15 8:55,0.15,0,0.73,0.88,39
93,3/8/15 8:56,0.5,0,2.08,2.58,26
94,3/8/15 8:57,0.13,0,0.64,0.77,32
95,3/8/15 8:57,0.22,0,0.76,0.98,34
96,3/8/15 8:58,0.26,0,1.03,1.29,31
97,3/8/15 9:05,0.1,0,0.46,0.56,39
98,3/8/15 9:06,0.18,0,0.68,0.86,24
99,3/8/15 9:07,0.42,0,1.73,2.15,16
100,3/8/15 9:08,0.34,0,1.55,1.89,38
101,3/8/15 9:08,0.35,0,1.3,1.65,17
102,3/8/15 9:10,0.43,0,2.52,2.95,20
103,3/8/15 9:10,0.26,0,1.32,1.58,12
104,3/8/15 9:11,0.19,0,0.85,1.04,26
105,3/8/15 9:12,0.15,0,0.66,0.81,47
106,3/8/15 9:13,0.17,0,0.72,0.89,26
107,3/8/15 9:15,0.08,0,0.42,0.5,58
108,3/8/15 9:16,0.12,0,0.59,0.71,51
109,3/8/15 9:16,0.08,0,0.55,0.63,31
110,3/8/15 9:17,0.04,0,0.26,0.3,61
111,3/8/15 9:17,0.06,0,0.38,0.44,48
112,3/8/15 9:18,0.07,0,0.52,0.59,43
113,3/8/15 9:19,0.18,0,0.79,0.97,40
114,3/8/15 9:19,0.06,0,0.37,0.43,55
115,3/8/15 9:20,0.26,0,1.55,1.81,28
116,3/8/15 9:21,0.09,0,0.61,0.7,47
117,3/8/15 9:21,0.17,0,0.64,0.81,20
118,3/8/15 9:22,0.11,0,0.59,0.7,36
119,3/8/15 9:22,0.21,0,1.37,1.58,25
120,3/8/15 9:23,0.16,0,0.85,1.01,40
121,3/8/15 9:24,0.14,0,0.7,0.84,42
122,3/8/15 9:25,0.25,0,0.95,1.2,22
123,3/8/15 9:25,0.17,0,0.99,1.16,36
124,3/8/15 9:26,0.05,0,0.37,0.42,54
125,3/8/15 9:26,0.17,0,0.88,1.05,20
126,3/8/15 9:27,0.13,0,0.56,0.69,37
127,3/8/15 9:27,0.15,0,0.85,1,41
128,3/8/15 9:28,0.23,0.42,0.76,1.41,42
129,3/8/15 9:29,0.11,0,0.75,0.86,50
130,3/8/15 9:29,0.39,0,2.99,3.38,11
131,3/8/15 9:30,0.24,0,1.09,1.33,25
132,3/8/15 9:30,0.25,0,1.15,1.4,17
133,3/8/15 9:31,0.36,0,1.1,1.46,25
134,3/8/15 9:32,0.15,0,0.76,0.91,40
135,3/8/15 9:32,0.2,0,1,1.2,35
136,3/8/15 9:33,0.02,0.07,0.13,0.22,57
137,3/8/15 9:33,0.09,0,0.95,1.04,38
138,3/8/15 9:34,0.13,0,0.8,0.93,29
139,3/8/15 9:34,0.12,0,0.52,0.64,46
140,3/8/15 9:35,0.1,0,0.53,0.63,44
141,3/8/15 9:35,0.11,0.51,0.37,0.99,50
142,3/8/15 9:36,0.21,0,1.01,1.22,26
143,3/8/15 9:37,0.16,0,0.78,0.94,44
144,3/8/15 9:37,0.16,0,0.63,0.79,53