Table,Table bucket,Overall bucket,Ulva,Pods,Crab,Kelp,Flow1_7,Flow2_7,Flow3_7,Ecto est 1st sam,flow 1st sam,flow 22-7,flow 28-7,Date/Time,Cyano,Green Algae,Diatoms,Total Conc.,Cyano cell,Green Algae cell,Diatoms cell,Total cell count,Reflection
1,1,1,Yes,No,Yes,One piece,,,,0,420,415,485,09-07-15 10:35:31,0.05,0,0.29,0.34,500,0,1305,1805,61
1,2,2,Yes,Yes,Yes,No,,,,0,385,395,201,09-07-15 10:37:15,0.09,0,0.48,0.57,900,0,2160,3060,50
1,3,3,Yes,No,No,Ground up,340,315,218,0,235,195,311,09-07-15 10:38:15,0.19,0,1.68,1.87,1900,0,7560,9460,16
1,4,4,Yes,Yes,No,No,,,,5,420,340,335,09-07-15 10:39:29,0.06,0,0.34,0.4,600,0,1530,2130,54
1,5,5,No,Yes,No,No,,,,5,420,345,265,09-07-15 10:40:16,0.08,0,0.34,0.42,800,0,1530,2330,44
1,6,6,Yes,No,Yes,No,380,385,360,5,405,333,222,09-07-15 10:41:00,0.07,0,0.5,0.57,700,0,2250,2950,56
1,7,7,No,Yes,Yes,One piece,,,,0,355,125,230,09-07-15 10:41:45,0.08,0,0.41,0.49,800,0,1845,2645,54
1,8,8,Yes,Yes,Yes,One piece,,,,5,355,262,159,09-07-15 10:42:42,0.07,0,0.35,0.42,700,0,1575,2275,53
1,9,9,Yes,Yes,No,Ground up,298,325,312,0,325,195,240,09-07-15 10:43:26,0.05,0.03,0.28,0.36,500,159,1260,1919,55
1,10,10,No,No,Yes,No,,,,0,350,240,155,09-07-15 10:44:16,0.03,0,0.17,0.2,300,0,765,1065,61
1,11,11,No,No,No,Ground up,,,,10,355,240,200,,,,,,,,,,
1,12,12,No,Yes,Yes,No,375,355,310,0,365,225,205,,,,,,,,,,
1,13,13,No,No,No,No,,,,5,195,240,205,,,,,,,,,,
1,14,14,No,Yes,No,Ground up,,,,5,170,180,110,,,,,,,,,,
1,15,15,No,No,Yes,Ground up,170,170,180,5,335,340,115,,,,,,,,,,
1,16,16,No,No,No,One piece,,,,0,215,135,85,,,,,,,,,,
1,17,17,No,Yes,No,One piece,,,,0,170,160,160,,,,,,,,,,
1,18,18,Yes,No,No,No,405,319,350,5,395,290,250,,,,,,,,,,
1,19,19,Yes,Yes,Yes,Ground up,,,,5,365,310,170,09-07-15 10:51:31,0.15,0,0.6,0.75,1500,0,2700,4200,50
1,20,20,No,Yes,Yes,Ground up,,,,0,335,368,190,09-07-15 10:52:23,0.13,0,0.41,0.54,1300,0,1845,3145,54
1,21,21,Yes,Yes,No,One piece,269,241,320,5,295,370,255,09-07-15 10:53:15,0.26,0,1,1.26,2600,0,4500,7100,47
1,22,22,No,No,Yes,One piece,,,,0,330,360,225,09-07-15 10:53:57,0.05,0,0.24,0.29,500,0,1080,1580,52
1,23,23,Yes,No,Yes,Ground up,,,,0,325,305,120,09-07-15 10:55:09,0.03,0,0.14,0.17,300,0,630,930,63
1,24,24,Yes,No,No,One piece,265,348,320,10,315,300,235,09-07-15 10:55:59,0.15,0,0.57,0.72,1500,0,2565,4065,43
2,1,25,No,Yes,Yes,Ground up,,,,20,275,315,365,09-07-15 10:59:21,0.22,0,0.92,1.14,2200,0,4140,6340,46
2,2,26,No,Yes,Yes,No,,,,5,250,385,411,09-07-15 11:00:54,0.01,0,0.07,0.08,100,0,315,415,65
2,3,27,No,No,Yes,Ground up,420,440,380,10,265,305,425,09-07-15 11:01:35,0.08,0,0.38,0.46,800,0,1710,2510,61
2,4,28,Yes,Yes,No,Ground up,,,,20,215,300,430,09-07-15 11:02:23,0.13,0,0.47,0.6,1300,0,2115,3415,41
2,5,29,No,No,Yes,One piece,,,,10,225,355,345,09-07-15 11:02:58,0.13,0,0.65,0.78,1300,0,2925,4225,48
2,6,30,No,Yes,No,Ground up,435,331,364,20,255,380,314,09-07-15 11:03:37,0.08,0,0.33,0.41,800,0,1485,2285,58
2,7,31,Yes,Yes,Yes,No,,,,5,255,220,130,09-07-15 11:04:35,0.06,0,0.29,0.35,600,0,1305,1905,58
2,8,32,No,Yes,Yes,One piece,,,,5,290,195,144,09-07-15 11:05:23,0.02,0,0.16,0.18,200,0,720,920,59
2,9,33,Yes,Yes,Yes,One piece,500,465,420,5,355,335,255,09-07-15 11:06:40,0.12,0,0.61,0.73,1200,0,2745,3945,55
2,10,34,Yes,Yes,No,One piece,,,,10,340,260,270,09-07-15 11:08:25,0,0,0,0,0,0,0,0,0
2,11,35,No,No,No,One piece,,,,10,380,425,295,09-07-15 15:48:06,0.03,0,0.14,0.17,300,0,630,930,57
2,12,36,No,No,No,No,455,461,496,10,345,355,266,09-07-15 15:49:38,0.03,0,0.19,0.22,300,0,855,1155,62
2,13,37,Yes,No,Yes,Ground up,,,,5,350,435,410,09-07-15 15:50:54,0.12,0.02,0.37,0.51,1200,106,1665,2971,50
2,14,38,No,No,Yes,No,,,,5,375,330,265,09-07-15 15:51:37,0.01,0.05,0.07,0.13,100,265,315,680,66
2,15,39,No,No,No,Ground up,385,362,340,10,145,365,85,09-07-15 15:52:31,0.1,0,0.32,0.42,1000,0,1440,2440,50
2,16,40,Yes,No,No,No,,,,20,355,290,200,09-07-15 15:53:30,0.24,0,0.83,1.07,2400,0,3735,6135,46
2,17,41,Yes,No,No,Ground up,,,,10,310,335,280,09-07-15 15:54:42,0.04,0,0.16,0.2,400,0,720,1120,52
2,18,42,Yes,No,No,One piece,121,126,114,20,365,400,375,09-07-15 15:55:31,0.01,0.04,0.06,0.11,100,212,270,582,59
2,19,43,No,Yes,No,No,,,,20,305,200,220,09-07-15 15:56:19,0.03,0,0.17,0.2,300,0,765,1065,61
2,20,44,Yes,Yes,No,No,,,,10,285,130,129,09-07-15 15:56:51,0.11,0,0.39,0.5,1100,0,1755,2855,50
2,21,45,Yes,No,Yes,No,310,280,285,10,295,270,171,09-07-15 15:57:41,0.02,0,0.13,0.15,200,0,585,785,61
2,22,46,Yes,No,Yes,One piece,,,,10,330,245,275,09-07-15 15:58:26,0.11,0,0.43,0.54,1100,0,1935,3035,55
2,23,47,Yes,Yes,Yes,Ground up,,,,10,180,105,100,09-07-15 15:59:12,0.06,0,0.26,0.32,600,0,1170,1770,55
2,24,48,No,Yes,No,One piece,250,290,250,30,315,265,244,09-07-15 16:00:06,0.13,0,0.61,0.74,1300,0,2745,4045,53
3,1,49,Yes,Yes,Yes,One piece,,,,30,300,300,280,10-07-15 10:41:39,0.05,0,0.34,0.39,500,0,1530,2030,61
3,2,50,Yes,No,No,No,,,,30,370,340,275,10-07-15 10:42:45,0.16,0,0.71,0.87,1600,0,3195,4795,47
3,3,51,No,Yes,Yes,One piece,370,360,215,20,255,130,95,10-07-15 10:43:56,0.08,0,0.36,0.44,800,0,1620,2420,56
3,4,52,No,No,Yes,Ground up,,,,0,325,305,295,10-07-15 10:45:03,0.04,0,0.32,0.36,400,0,1440,1840,57
3,5,53,Yes,No,No,One piece,,,,30,310,285,230,10-07-15 10:45:36,0.03,0,0.16,0.19,300,0,720,1020,58
3,6,54,Yes,No,Yes,No,290,375,235,0,355,335,301,10-07-15 10:46:14,0.02,0.07,0.19,0.28,200,371,855,1426,60
3,7,55,Yes,Yes,No,No,,,,20,255,235,210,10-07-15 10:46:56,0.32,0,1.37,1.69,3200,0,6165,9365,43
3,8,56,No,No,No,Ground up,,,,30,245,75,110,10-07-15 10:47:37,0.13,0,0.62,0.75,1300,0,2790,4090,44
3,9,57,No,No,Yes,No,370,270,265,20,265,170,210,10-07-15 10:48:32,0,0,0.01,0.01,0,0,45,45,72
3,10,58,Yes,No,No,Ground up,,,,30,210,170,170,10-07-15 10:49:50,0.09,0,0.71,0.8,900,0,3195,4095,44
3,11,59,Yes,Yes,Yes,No,,,,0,230,220,140,10-07-15 10:50:56,0.02,0,0.17,0.19,200,0,765,965,58
3,12,60,No,Yes,Yes,Ground up,360,285,280,20,265,195,120,10-07-15 10:51:36,0.03,0,0.23,0.26,300,0,1035,1335,63
3,13,61,Yes,No,Yes,Ground up,,,,5,180,225,240,10-07-15 10:52:14,0.05,0,0.31,0.36,500,0,1395,1895,59
3,14,62,No,No,No,One piece,,,,30,215,80,200,10-07-15 10:52:48,0.03,0,0.25,0.28,300,0,1125,1425,61
3,15,63,Yes,Yes,No,Ground up,250,260,370,30,335,430,240,10-07-15 10:53:57,0.05,0,0.28,0.33,500,0,1260,1760,52
3,16,64,No,No,No,No,,,,30,190,65,220,10-07-15 10:55:10,0.1,0,0.4,0.5,1000,0,1800,2800,46
3,17,65,No,Yes,No,One piece,,,,20,310,300,200,10-07-15 10:56:00,0.06,0,0.22,0.28,600,0,990,1590,50
3,18,66,No,Yes,No,Ground up,435,430,220,30,365,160,320,10-07-15 10:56:58,0.17,0,1.07,1.24,1700,0,4815,6515,50
3,19,67,Yes,Yes,Yes,Ground up,,,,20,345,215,230,10-07-15 10:57:44,0.07,0,0.47,0.54,700,0,2115,2815,58
3,20,68,No,No,Yes,One piece,,,,10,380,190,140,10-07-15 10:58:40,0.1,0,0.48,0.58,1000,0,2160,3160,54
3,21,69,No,Yes,No,No,235,280,250,20,245,205,80,10-07-15 10:59:18,0.19,0,0.89,1.08,1900,0,4005,5905,55
3,22,70,Yes,Yes,No,One piece,,,,20,350,215,200,10-07-15 10:59:50,0.12,0,0.69,0.81,1200,0,3105,4305,47
3,23,71,No,Yes,Yes,No,,,,20,350,300,290,10-07-15 11:00:23,0.12,0,0.62,0.74,1200,0,2790,3990,51
3,24,72,Yes,No,Yes,One piece,290,350,310,5,300,180,190,10-07-15 11:00:55,0.25,0.05,1.02,1.32,2500,265,4590,7355,54
4,1,73,No,Yes,Yes,Ground up,,,,5,390,215,270,10-07-15 11:05:58,0.06,0,0.29,0.35,600,0,1305,1905,58
4,2,74,No,Yes,Yes,One piece,,,,5,265,160,250,10-07-15 11:06:55,0.06,0,0.28,0.34,600,0,1260,1860,57
4,3,75,No,Yes,No,Ground up,440,430,380,20,420,275,160,10-07-15 11:07:28,0.23,0,1.08,1.31,2300,0,4860,7160,35
4,4,76,Yes,Yes,No,One piece,,,,30,395,155,300,10-07-15 11:08:03,0.09,0,0.73,0.82,900,0,3285,4185,55
4,5,77,Yes,No,No,One piece,,,,30,395,320,150,10-07-15 11:08:34,0.08,0,0.3,0.38,800,0,1350,2150,57
4,6,78,No,Yes,No,One piece,330,320,240,30,290,160,280,10-07-15 11:09:18,0.05,0,0.28,0.33,500,0,1260,1760,48
4,7,79,Yes,No,No,No,,,,20,355,300,290,10-07-15 11:10:03,0.09,0,0.45,0.54,900,0,2025,2925,46
4,8,80,No,No,Yes,Ground up,,,,5,375,285,240,10-07-15 11:10:55,0.08,0,0.41,0.49,800,0,1845,2645,54
4,9,81,No,No,Yes,No,370,360,320,20,355,305,330,10-07-15 11:11:40,0.1,0,0.48,0.58,1000,0,2160,3160,63
4,10,82,Yes,Yes,Yes,One piece,,,,0,405,315,280,10-07-15 11:12:16,0.09,0,0.42,0.51,900,0,1890,2790,57
4,11,83,No,Yes,Yes,No,,,,0,400,240,270,10-07-15 11:12:48,0.04,0,0.22,0.26,400,0,990,1390,60
4,12,84,Yes,Yes,No,No,400,400,340,0,370,310,300,10-07-15 11:13:29,0.09,0,0.58,0.67,900,0,2610,3510,58
4,13,85,No,No,No,Ground up,,,,20,380,270,290,10-07-15 11:14:01,0.12,0,0.65,0.77,1200,0,2925,4125,46
4,14,86,No,Yes,No,No,,,,20,385,185,195,10-07-15 11:14:58,0.23,0,0.91,1.14,2300,0,4095,6395,50
4,15,87,Yes,Yes,Yes,Ground up,380,380,320,30,370,215,240,10-07-15 11:17:49,0.15,0,0.98,1.13,1500,0,4410,5910,52
4,16,88,Yes,No,Yes,No,,,,10,360,125,220,10-07-15 11:19:04,0.11,0,0.46,0.57,1100,0,2070,3170,46
4,17,89,No,No,No,One piece,,,,20,390,190,200,10-07-15 11:19:40,0.03,0,0.19,0.22,300,0,855,1155,61
4,18,90,Yes,No,Yes,One piece,410,380,320,30,365,275,270,10-07-15 11:20:12,0.04,0,0.22,0.26,400,0,990,1390,64
4,19,91,Yes,Yes,No,Ground up,,,,10,405,190,280,10-07-15 11:20:43,0.11,0,0.52,0.63,1100,0,2340,3440,44
4,20,92,No,No,Yes,One piece,,,,10,370,285,280,10-07-15 11:21:41,0.04,0,0.24,0.28,400,0,1080,1480,60
4,21,93,Yes,No,Yes,Ground up,405,410,350,10,385,300,270,10-07-15 11:22:18,0.07,0.1,0.29,0.46,700,530,1305,2535,51
4,22,94,No,No,No,No,,,,30,400,280,320,10-07-15 11:22:56,0.23,0,1.24,1.47,2300,0,5580,7880,44
4,23,95,Yes,No,No,Ground up,,,,30,430,305,320,10-07-15 11:23:33,0.24,0,0.96,1.2,2400,0,4320,6720,41
4,24,96,Yes,Yes,Yes,No,400,370,340,20,380,270,280,10-07-15 11:24:10,0.41,0,2.31,2.72,4100,0,10395,14495,43
5,1,97,No,No,Yes,No,,,,5,395,300,360,10-07-15 8:46:04,0.29,0,1.11,1.4,2900,0,4995,7895,53
5,2,98,No,Yes,No,No,,,,5,390,320,480,10-07-15 8:47:03,0.04,0,0.3,0.34,400,0,1350,1750,54
5,3,99,Yes,No,Yes,Ground up,335,390,320,5,380,310,290,10-07-15 8:47:38,0.2,0,0.91,1.11,2000,0,4095,6095,50
5,4,100,No,Yes,Yes,Ground up,,,,5,360,330,310,10-07-15 8:48:21,0.07,0,0.43,0.5,700,0,1935,2635,50
5,5,101,No,Yes,No,Ground up,,,,30,345,310,220,10-07-15 8:48:58,0.12,0,0.56,0.68,1200,0,2520,3720,48
5,6,102,No,No,No,No,410,390,330,30,370,315,260,10-07-15 8:49:52,0.14,0,0.83,0.97,1400,0,3735,5135,49
5,7,103,Yes,Yes,No,One piece,,,,20,245,160,140,10-07-15 8:50:34,0.11,0,0.54,0.65,1100,0,2430,3530,50
5,8,104,Yes,Yes,No,Ground up,,,,30,415,215,210,10-07-15 8:51:13,0.23,0,1.12,1.35,2300,0,5040,7340,41
5,9,105,Yes,No,Yes,One piece,300,350,330,30,335,250,240,10-07-15 8:53:36,0.09,0,0.55,0.64,900,0,2475,3375,54
5,10,106,Yes,No,No,One piece,,,,10,280,145,170,10-07-15 8:54:21,0.06,0,0.32,0.38,600,0,1440,2040,50
5,11,107,No,Yes,Yes,One piece,,,,5,393,265,260,10-07-15 8:55:19,0.05,0,0.3,0.35,500,0,1350,1850,56
5,12,108,Yes,Yes,Yes,One piece,350,350,340,30,390,290,270,10-07-15 8:56:10,0.08,0,0.4,0.48,800,0,1800,2600,54
5,13,109,No,No,No,Ground up,,,,30,305,155,170,10-07-15 8:56:50,0.18,0,0.8,0.98,1800,0,3600,5400,38
5,14,110,Yes,Yes,Yes,No,,,,0,255,105,108,10-07-15 8:57:29,0.05,0,0.36,0.41,500,0,1620,2120,60
5,15,111,No,Yes,Yes,No,160,165,155,20,160,110,80,10-07-15 8:58:05,0.12,0,0.53,0.65,1200,0,2385,3585,49
5,16,112,Yes,No,Yes,No,,,,0,385,170,190,10-07-15 8:58:41,0.05,0,0.41,0.46,500,0,1845,2345,58
5,17,113,Yes,Yes,Yes,Ground up,,,,5,365,115,150,10-07-15 8:59:13,0.08,0,0.44,0.52,800,0,1980,2780,60
5,18,114,No,No,Yes,Ground up,365,350,310,10,335,165,236,10-07-15 8:59:55,0.09,0,0.6,0.69,900,0,2700,3600,56
5,19,115,No,Yes,No,One piece,,,,5,130,155,320,10-07-15 9:00:49,0.06,0,0.58,0.64,600,0,2610,3210,53
5,20,116,No,No,Yes,One piece,,,,10,365,150,204,10-07-15 9:01:23,0.16,0,0.78,0.94,1600,0,3510,5110,54
5,21,117,Yes,No,No,No,110,120,110,10,100,145,170,10-07-15 9:01:59,0.05,0,0.27,0.32,500,0,1215,1715,51
5,22,118,Yes,Yes,No,No,,,,20,360,225,250,10-07-15 9:02:36,0.27,0,1.24,1.51,2700,0,5580,8280,49
5,23,119,No,No,No,One piece,,,,10,105,195,270,10-07-15 9:03:27,0.06,0,0.41,0.47,600,0,1845,2445,55
5,24,120,Yes,No,No,Ground up,350,390,320,30,530,245,212,10-07-15 9:04:07,0.1,0,0.83,0.93,1000,0,3735,4735,46
6,1,121,Yes,No,Yes,No,,,,20,365,225,350,10-07-15 9:05:21,0.08,0,0.51,0.59,800,0,2295,3095,52
6,2,122,Yes,Yes,No,Ground up,,,,30,135,220,272,10-07-15 9:06:21,0.1,0,0.48,0.58,1000,0,2160,3160,49
6,3,123,Yes,No,Yes,Ground up,340,410,320,20,305,295,229,10-07-15 9:06:58,0.1,0,0.55,0.65,1000,0,2475,3475,44
6,4,124,No,No,No,No,,,,20,225,215,330,10-07-15 9:08:44,0.08,0,0.45,0.53,800,0,2025,2825,46
6,5,125,Yes,Yes,No,No,,,,20,240,225,240,10-07-15 9:09:49,0.16,0,0.71,0.87,1600,0,3195,4795,23
6,6,126,No,Yes,No,No,400,390,310,30,315,280,284,10-07-15 9:10:30,0.22,0,1.02,1.24,2200,0,4590,6790,41
6,7,127,No,Yes,Yes,No,,,,20,395,273,390,10-07-15 9:11:06,0.1,0,0.52,0.62,1000,0,2340,3340,53
6,8,128,Yes,Yes,Yes,No,,,,30,405,265,250,10-07-15 9:11:49,0.04,0,0.28,0.32,400,0,1260,1660,58
6,9,129,No,No,Yes,One piece,360,500,330,20,370,335,320,10-07-15 9:12:28,0.13,0,0.61,0.74,1300,0,2745,4045,54
6,10,130,No,No,No,One piece,,,,30,330,240,250,10-07-15 9:13:12,0.44,0,2.61,3.05,4400,0,11745,16145,44
6,11,131,No,Yes,Yes,Ground up,,,,20,315,170,180,10-07-15 9:14:10,0.16,0,0.9,1.06,1600,0,4050,5650,41
6,12,132,No,No,No,Ground up,310,370,280,30,315,290,290,10-07-15 9:14:46,0.29,0,1.32,1.61,2900,0,5940,8840,41
6,13,133,Yes,No,Yes,One piece,,,,10,430,300,400,10-07-15 9:15:26,0.07,0,0.49,0.56,700,0,2205,2905,51
6,14,134,No,Yes,No,One piece,,,,30,395,255,390,10-07-15 9:16:08,0.08,0,0.56,0.64,800,0,2520,3320,55
6,15,135,Yes,Yes,Yes,One piece,395,410,380,20,405,305,300,10-07-15 9:16:56,0.04,0,0.33,0.37,400,0,1485,1885,60
6,16,136,Yes,Yes,No,One piece,,,,5,95,75,75,10-07-15 9:17:34,0.07,0,0.48,0.55,700,0,2160,2860,52
6,17,137,Yes,No,No,No,,,,10,395,255,360,10-07-15 9:18:25,0.1,0,0.62,0.72,1000,0,2790,3790,45
6,18,138,No,No,Yes,Ground up,395,410,395,20,415,325,420,10-07-15 9:19:19,0.11,0,0.87,0.98,1100,0,3915,5015,54
6,19,139,Yes,No,No,Ground up,,,,30,385,170,90,10-07-15 9:19:54,0.06,0,0.49,0.55,600,0,2205,2805,53
6,20,140,Yes,Yes,Yes,Ground up,,,,10,400,165,198,10-07-15 9:20:29,0.04,0,0.21,0.25,400,0,945,1345,58
6,21,141,Yes,No,No,One piece,355,375,315,20,350,170,250,10-07-15 9:21:06,0.09,0,0.6,0.69,900,0,2700,3600,44
6,22,142,No,Yes,No,Ground up,,,,30,335,155,100,10-07-15 9:21:39,0.09,0,0.63,0.72,900,0,2835,3735,51
6,23,143,No,No,Yes,No,,,,5,375,175,130,10-07-15 9:22:21,0.09,0,0.65,0.74,900,0,2925,3825,54
6,24,144,No,Yes,Yes,One piece,360,384,340,10,365,250,220,10-07-15 9:22:54,0.16,0,0.95,1.11,1600,0,4275,5875,48
