Table,Table bucket,Overall bucket,Ulva,Pods,Crab,Kelp,Nitrate,Nitrite,Phosphate,Ammonium,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,Yes,No,Yes,One piece,0.483,0.082,0.121,0.246,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,2,Yes,Yes,Yes,No,0.349,0.069,0.14,0.315,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,3,Yes,No,No,Ground up,0.26,0.058,0.074,2.419,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,4,Yes,Yes,No,No,0.36,0.08,0.165,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,5,No,Yes,No,No,0.486,0.097,0.185,3.515,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,6,Yes,No,Yes,No,0.581,0.085,0.137,0.557,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,7,No,Yes,Yes,One piece,0.461,0.09,0.189,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,8,Yes,Yes,Yes,One piece,0.333,0.069,0.103,0.984,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,9,Yes,Yes,No,Ground up,1.801,0.105,0.212,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,10,No,No,Yes,No,0.855,0.099,0.144,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,11,No,No,No,Ground up,0.463,0.098,0.172,0.833,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,12,No,Yes,Yes,No,0.653,0.106,0.186,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,13,No,No,No,No,0.471,0.091,0.143,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,14,No,Yes,No,Ground up,0.293,0.063,0.151,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,15,No,No,Yes,Ground up,0.421,0.094,0.151,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,16,No,No,No,One piece,1.098,0.074,0.096,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,17,No,Yes,No,One piece,1.353,0.113,0.264,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,18,Yes,No,No,No,0.416,0.089,0.187,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,19,Yes,Yes,Yes,Ground up,0.38,0.087,0.131,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,20,No,Yes,Yes,Ground up,0.599,0.084,0.11,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,21,Yes,Yes,No,One piece,0.292,0.07,0.169,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,22,No,No,Yes,One piece,0.489,0.093,0.072,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,23,Yes,No,Yes,Ground up,0.295,0.076,0.068,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,24,Yes,No,No,One piece,0.36,0.095,0.128,0.172,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,25,No,Yes,Yes,Ground up,0.525,0.082,0.089,1.047,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,26,No,Yes,Yes,No,0.51,0.1,0.214,0.994,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,27,No,No,Yes,Ground up,0.383,0.083,0.157,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,28,Yes,Yes,No,Ground up,0.381,0.088,0.166,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,29,No,No,Yes,One piece,0.358,0.078,0.106,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,30,No,Yes,No,Ground up,0.453,0.109,0.232,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,31,Yes,Yes,Yes,No,0.38,0.083,0.146,0.824,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,32,No,Yes,Yes,One piece,0.408,0.087,0.154,0.633,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,33,Yes,Yes,Yes,One piece,1.032,0.113,0.258,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,34,Yes,Yes,No,One piece,0.6,0.078,0.142,0.155,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,35,No,No,No,One piece,0.604,0.102,0.26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,36,No,No,No,No,0.611,0.11,0.291,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,13,37,Yes,No,Yes,Ground up,0.525,0.084,0.093,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,38,No,No,Yes,No,0.497,0.088,0.104,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15,39,No,No,No,Ground up,0.415,0.079,0.161,0.096,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16,40,Yes,No,No,No,0.408,0.076,0.175,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,17,41,Yes,No,No,Ground up,0.365,0.071,0.124,0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18,42,Yes,No,No,One piece,0.412,0.078,0.183,0.208,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,19,43,No,Yes,No,No,0.421,0.084,0.145,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20,44,Yes,Yes,No,No,0.398,0.075,0.154,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,21,45,Yes,No,Yes,No,0.44,0.09,0.07,0.453,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,22,46,Yes,No,Yes,One piece,0.376,0.078,0.13,0.199,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,23,47,Yes,Yes,Yes,Ground up,0.413,0.078,0.13,1.113,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,24,48,No,Yes,No,One piece,0.441,0.086,0.281,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,49,Yes,Yes,Yes,One piece,1.144,0.169,0.337,1.522,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,50,Yes,No,No,No,1.564,0.311,0.366,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,51,No,Yes,Yes,One piece,0.598,0.117,0.2,0.968,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,52,No,No,Yes,Ground up,0.957,0.172,0.355,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,53,Yes,No,No,One piece,0.911,0.192,0.311,0.412,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,54,Yes,No,Yes,No,0.661,0.125,0.19,0.881,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,55,Yes,Yes,No,No,0.449,0.103,0.135,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,8,56,No,No,No,Ground up,0.749,0.159,0.233,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9,57,No,No,Yes,No,0.937,0.161,0.342,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10,58,Yes,No,No,Ground up,0.97,0.163,0.352,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11,59,Yes,Yes,Yes,No,0.507,0.095,0.175,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,12,60,No,Yes,Yes,Ground up,0.827,0.148,0.279,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,61,Yes,No,Yes,Ground up,0.626,0.109,0.161,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14,62,No,No,No,One piece,0.869,0.169,0.237,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,15,63,Yes,Yes,No,Ground up,0.701,0.145,0.433,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,16,64,No,No,No,No,0.658,0.117,0.161,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,17,65,No,Yes,No,One piece,1.378,0.184,0.432,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,18,66,No,Yes,No,Ground up,0.734,0.149,0.194,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,19,67,Yes,Yes,Yes,Ground up,0.564,0.11,0.116,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,20,68,No,No,Yes,One piece,0.633,0.124,0.229,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,21,69,No,Yes,No,No,0.683,0.137,0.208,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,22,70,Yes,Yes,No,One piece,0.539,0.098,0.135,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,23,71,No,Yes,Yes,No,0.539,0.11,0.232,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,24,72,Yes,No,Yes,One piece,0.563,0.112,0.393,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,73,No,Yes,Yes,Ground up,0.807,0.115,0.439,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,74,No,Yes,Yes,One piece,0.53,0.1,0.129,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,75,No,Yes,No,Ground up,0.968,0.204,0.418,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,76,Yes,Yes,No,One piece,0.716,0.145,0.232,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,77,Yes,No,No,One piece,0.631,0.114,0.321,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,78,No,Yes,No,One piece,0.611,0.094,0.134,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,79,Yes,No,No,No,0.52,0.09,0.125,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,8,80,No,No,Yes,Ground up,0.62,0.102,0.087,0.403,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9,81,No,No,Yes,No,0.682,0.108,0.132,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10,82,Yes,Yes,Yes,One piece,0.476,0.089,0.102,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,11,83,No,Yes,Yes,No,0.761,0.118,0.153,0.305,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,12,84,Yes,Yes,No,No,0.474,0.095,0.183,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,13,85,No,No,No,Ground up,0.692,0.105,0.072,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,14,86,No,Yes,No,No,0.561,0.112,0.1,0.093,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,15,87,Yes,Yes,Yes,Ground up,0.567,0.106,0.294,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,16,88,Yes,No,Yes,No,0.429,0.08,0.063,0.103,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,17,89,No,No,No,One piece,1.219,0.139,0.236,0.245,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,18,90,Yes,No,Yes,One piece,0.736,0.102,0.137,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,19,91,Yes,Yes,No,Ground up,1.17,0.135,0.243,0.151,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20,92,No,No,Yes,One piece,0.917,0.137,0.231,0.528,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,21,93,Yes,No,Yes,Ground up,0.833,0.122,0.276,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,22,94,No,No,No,No,1.091,0.178,0.258,0.483,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,23,95,Yes,No,No,Ground up,0.973,0.121,0.205,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,24,96,Yes,Yes,Yes,No,0.833,0.123,0.253,0.085,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,97,No,No,Yes,No,0.637,0.116,0.14,0.327,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2,98,No,Yes,No,No,0.764,0.133,0.142,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,99,Yes,No,Yes,Ground up,0.619,0.112,0.134,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4,100,No,Yes,Yes,Ground up,0.695,0.12,0.208,0.379,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,101,No,Yes,No,Ground up,1.086,0.199,0.391,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,102,No,No,No,No,0.831,0.131,0.197,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,103,Yes,Yes,No,One piece,1.206,0.094,0.084,0.217,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8,104,Yes,Yes,No,Ground up,0.537,0.102,0.175,0.009,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9,105,Yes,No,Yes,One piece,1.007,0.108,0.123,0.305,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10,106,Yes,No,No,One piece,0.615,0.107,0.198,0.321,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11,107,No,Yes,Yes,One piece,0.791,0.128,0.196,0.507,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,12,108,Yes,Yes,Yes,One piece,0.626,0.112,0.232,0.419,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,13,109,No,No,No,Ground up,0.823,0.165,0.356,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,14,110,Yes,Yes,Yes,No,0.679,0.117,0.379,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,15,111,No,Yes,Yes,No,1.084,0.145,0.417,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,16,112,Yes,No,Yes,No,0.779,0.131,0.297,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,17,113,Yes,Yes,Yes,Ground up,0.55,0.09,0.118,1.025,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,18,114,No,No,Yes,Ground up,1.374,0.159,0.301,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,19,115,No,Yes,No,One piece,0.741,0.122,0.206,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,20,116,No,No,Yes,One piece,1.277,0.137,0.304,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,21,117,Yes,No,No,No,0.603,0.096,0.173,0.181,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,22,118,Yes,Yes,No,No,0.561,0.115,0.253,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,23,119,No,No,No,One piece,0.511,0.093,0.169,0.205,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,24,120,Yes,No,No,Ground up,0.503,0.103,0.124,0.618,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,121,Yes,No,Yes,No,1.027,0.131,0.242,0.957,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2,122,Yes,Yes,No,Ground up,0.526,0.102,0.194,1.497,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,123,Yes,No,Yes,Ground up,0.555,0.115,0.212,0.965,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4,124,No,No,No,No,0.609,0.122,0.237,0.692,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,125,Yes,Yes,No,No,0.575,0.137,0.26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6,126,No,Yes,No,No,0.685,0.148,0.385,0.702,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,127,No,Yes,Yes,No,0.689,0.139,0.293,1.199,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8,128,Yes,Yes,Yes,No,0.751,0.147,0.372,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9,129,No,No,Yes,One piece,0.804,0.157,0.506,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10,130,No,No,No,One piece,0.833,0.163,0.599,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11,131,No,Yes,Yes,Ground up,0.701,0.14,0.392,0.294,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12,132,No,No,No,Ground up,1.024,0.222,0.76,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,13,133,Yes,No,Yes,One piece,0.509,0.096,0.186,0.659,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,14,134,No,Yes,No,One piece,0.581,0.124,0.314,0.595,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,15,135,Yes,Yes,Yes,One piece,0.55,0.106,0.324,0.583,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16,136,Yes,Yes,No,One piece,0.549,0.108,0.228,0.541,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,17,137,Yes,No,No,No,1.092,0.135,0.296,0.152,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,18,138,No,No,Yes,Ground up,0.705,0.158,0.419,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,19,139,Yes,No,No,Ground up,0.696,0.142,0.323,0.761,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20,140,Yes,Yes,Yes,Ground up,0.614,0.121,0.31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,21,141,Yes,No,No,One piece,0.539,0.109,0.413,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,22,142,No,Yes,No,Ground up,0.528,0.107,0.43,0.664,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,23,143,No,No,Yes,No,0.461,0.088,0.116,0.718,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,24,144,No,Yes,Yes,One piece,0.495,0.097,0.192,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
